Race,Sex,Age,Ethnicity,Class,B2_Race,B2_Ethnicity,B2_Sex,B2_Age,B2_Class,LoanId,B1_Race,B1_Ethnicity,B1_Sex,B1_Age,B1_Class,AIP,Rate_Spread,APR,APOR,Interest_Rate,ApplicationDate,HmdaActionDate,HmdaActionTaken,FundedDate,Region,branchname,LoanOfficer,State,HmdaCreditScore,DebtRatio,LoanAmount,Purpose,Program,ProgramCategory,Channel,Occupancy,FirstLienFlag,BrokeredFlag,ReverseFlag,PricingExceptionFlag,Pricing_Flag,LoanType,PricingExc1Reason,PricingExc1Notes
White,EXCLUDED,62 Yrs or Over,Not Hispanic or Latino,XCOMPARISON,", , , , White, ",Not Hispanic or Latino,Female,Under 62 Yrs Old,XCOMPARISON,6055205,", , , , White, ",Not Hispanic or Latino,Male,62 Yrs or Over,XCOMPARISON,97.998,-0.03500000000000014,5.845,5.88,5.5,2022-04-29 00:00:00.000,2023-01-13 00:00:00.000,Loan Originated,2023-01-13 00:00:00.000,Southern Utah,Salt Lake City Center,Wane Workman,UT,775,37.861,471150.00,Refinance,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
White,EXCLUDED,62 Yrs or Over,Not Hispanic or Latino,XCOMPARISON,", , , , White, ",Not Hispanic or Latino,Female,62 Yrs or Over,XCOMPARISON,5997089,", , , , White, ",Not Hispanic or Latino,Male,Under 62 Yrs Old,XCOMPARISON,99.000,-0.19399999999999995,6.836,7.03,6.625,2022-05-02 00:00:00.000,2023-01-17 00:00:00.000,Loan Originated,2023-01-17 00:00:00.000,Southern Utah,Salt Lake City Center,Wane Workman,UT,8888,49.568,600000.00,Refinance,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
White,Female,Under 62 Yrs Old,Not Hispanic or Latino,XCOMPARISON,NULL,NULL,NULL,NULL,NULL,6133197,", , , , White, No Co Applicant",Not Hispanic or Latino,Female,Under 62 Yrs Old,XCOMPARISON,99.250,0.2160000000000002,6.746,6.53,6.375,2023-01-12 00:00:00.000,2023-01-31 00:00:00.000,Loan Originated,2023-01-31 00:00:00.000,Southern Utah,Salt Lake City Center,Wane Workman,UT,759,46.747,403750.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
White,Female,62 Yrs or Over,Not Hispanic or Latino,XCOMPARISON,NULL,NULL,NULL,NULL,NULL,6126724,", , , , White, No Co Applicant",Not Hispanic or Latino,Female,62 Yrs or Over,XCOMPARISON,100.000,0.19200000000000017,6.212,6.02,5.875,2023-01-24 00:00:00.000,2023-02-16 00:00:00.000,Loan Originated,2023-02-16 00:00:00.000,Southern Utah,Salt Lake City Center,Wane Workman,UT,778,48.148,210000.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,0,0,Conventional,NULL,NULL
White,EXCLUDED,62 Yrs or Over,Not Hispanic or Latino,XCOMPARISON,", , , , White, ",Not Hispanic or Latino,Male,Under 62 Yrs Old,XCOMPARISON,6116923,", , , , White, ",Not Hispanic or Latino,Female,62 Yrs or Over,XCOMPARISON,99.800,0.8439999999999994,7.124,6.28,6.5,2022-12-27 00:00:00.000,2023-01-25 00:00:00.000,Loan Originated,2023-01-25 00:00:00.000,Northwest,Spokane,Lynn Hergenreder,WA,700,37.459,408405.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,0,0,Conventional,NULL,NULL
White,EXCLUDED,62 Yrs or Over,Not Hispanic or Latino,XCOMPARISON,", , , , White, ",Not Hispanic or Latino,Male,62 Yrs or Over,XCOMPARISON,6137342,", , , , White, ",Not Hispanic or Latino,Female,62 Yrs or Over,XCOMPARISON,100.000,1.2410000000000005,7.331,6.09,6.25,2023-02-03 00:00:00.000,2023-03-02 00:00:00.000,Loan Originated,2023-03-02 00:00:00.000,Northwest,Spokane,Lynn Hergenreder,WA,661,43.163,513000.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,0,0,Conventional,NULL,NULL
White,EXCLUDED,Under 62 Yrs Old,Not Hispanic or Latino,XCOMPARISON,", , , , White, ",Not Hispanic or Latino,Female,Under 62 Yrs Old,XCOMPARISON,6131288,", , , , White, ",Not Hispanic or Latino,Male,Under 62 Yrs Old,XCOMPARISON,98.752,0.37900000000000045,6.469,6.09,6.375,2023-01-29 00:00:00.000,2023-02-22 00:00:00.000,Loan Originated,2023-02-22 00:00:00.000,California,Manteca,Susan Lacondeguy,CA,770,34.143,612500.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
Non-White,Female,Under 62 Yrs Old,Not Hispanic or Latino,EXCLUDED,NULL,NULL,NULL,NULL,NULL,6113634,", Asian, , Hawaiian, , No Co Applicant",Not Hispanic or Latino,Female,Under 62 Yrs Old,EXCLUDED,98.825,0.532,7.702,7.17,7.5,2022-11-18 00:00:00.000,2023-01-06 00:00:00.000,Loan Originated,2023-01-06 00:00:00.000,California,Stockton,Susan Lacondeguy,CA,725,42.781,695000.00,Refinance,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
Non-White,EXCLUDED,62 Yrs or Over,Not Hispanic or Latino,EXCLUDED,", , Black or African American, , , ",Not Hispanic or Latino,Male,62 Yrs or Over,EXCLUDED,6138472,", , Black or African American, , , ",Not Hispanic or Latino,Female,Under 62 Yrs Old,EXCLUDED,100.052,-0.6550000000000002,5.435,6.09,5.375,2023-02-03 00:00:00.000,2023-02-24 00:00:00.000,Loan Originated,2023-02-24 00:00:00.000,Heartlantic,Raleigh,Amy Johnson,NC,8888,29.644,372300.00,Purchase,VA 30 YEAR FIXED,NULL,Banked - Retail,Owner,1,0,0,0,0,VA,NULL,NULL
White,EXCLUDED,62 Yrs or Over,Not Hispanic or Latino,XCOMPARISON,", , , , White, ",Not Hispanic or Latino,Female,62 Yrs or Over,XCOMPARISON,6135969,", , , , White, ",Not Hispanic or Latino,Male,NULL,XCOMPARISON,98.220,-0.21199999999999974,5.808,6.02,5.75,2023-01-26 00:00:00.000,2023-02-17 00:00:00.000,Loan Originated,2023-02-17 00:00:00.000,Heartlantic,Raleigh,Amy Johnson,NC,8888,32.419,398400.00,Purchase,VA 30 YEAR FIXED,NULL,Banked - Retail,Owner,1,0,0,1,1,VA,NULL,NULL
Non-White,Male,62 Yrs or Over,Not Hispanic or Latino,EXCLUDED,NULL,NULL,NULL,NULL,NULL,6136070,", , Black or African American, , , No Co Applicant",Not Hispanic or Latino,Male,62 Yrs or Over,EXCLUDED,100.200,-0.46699999999999964,5.953,6.42,5.875,2023-01-27 00:00:00.000,2023-03-10 00:00:00.000,Loan Originated,2023-03-10 00:00:00.000,Heartlantic,Raleigh,Amy Johnson,NC,639,49.249,340700.00,Purchase,VA < 640 30 YEAR FIXED,NULL,Banked - Retail,Owner,1,0,0,0,0,VA,NULL,NULL
Non-White,EXCLUDED,62 Yrs or Over,Not Hispanic or Latino,EXCLUDED,", , Black or African American, , , ",Not Hispanic or Latino,Male,Under 62 Yrs Old,EXCLUDED,6135311,", , Black or African American, , , ",Not Hispanic or Latino,Female,NULL,EXCLUDED,99.159,0.3360000000000003,6.756,6.42,6.25,2023-01-20 00:00:00.000,2023-02-28 00:00:00.000,Loan Originated,2023-02-28 00:00:00.000,Heartlantic,Raleigh,Amy Johnson,NC,8888,43.544,359338.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
White,Male,62 Yrs or Over,Not Hispanic or Latino,XCOMPARISON,NULL,NULL,NULL,NULL,NULL,6130344,", , , , White, No Co Applicant",Not Hispanic or Latino,Male,62 Yrs or Over,XCOMPARISON,98.382,-1.0840000000000005,5.406,6.49,5.375,2023-01-04 00:00:00.000,2023-02-01 00:00:00.000,Loan Originated,2023-02-01 00:00:00.000,Heartlantic,Raleigh,Amy Johnson,NC,723,52.328,378805.00,Purchase,VA 30 YEAR FIXED,NULL,Banked - Retail,Owner,1,0,0,1,1,VA,NULL,NULL
Non-White,Female,62 Yrs or Over,Not Hispanic or Latino,EXCLUDED,NULL,NULL,NULL,NULL,NULL,6132564,", , Black or African American, , , No Co Applicant",Not Hispanic or Latino,Female,62 Yrs or Over,EXCLUDED,98.395,0.8790000000000004,6.899,6.02,5.75,2023-01-09 00:00:00.000,2023-02-07 00:00:00.000,Loan Originated,2023-02-07 00:00:00.000,Heartlantic,Raleigh,Amy Johnson,NC,646,43.918,459523.00,Purchase,FHA 30 YEAR FIXED,NULL,Banked - Retail,Owner,1,0,0,1,1,FHA,NULL,NULL
Non-White,Female,Under 62 Yrs Old,Not Hispanic or Latino,EXCLUDED,NULL,NULL,NULL,NULL,NULL,5991487,", , Black or African American, , , No Co Applicant",Not Hispanic or Latino,Female,Under 62 Yrs Old,EXCLUDED,99.103,-0.2970000000000006,5.943,6.24,5.5,2023-02-06 00:00:00.000,2023-02-27 00:00:00.000,Loan Originated,2023-02-27 00:00:00.000,Heartlantic,Raleigh,Amy Johnson,NC,766,44.889,354017.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
Non-White,Female,Under 62 Yrs Old,Not Hispanic or Latino,EXCLUDED,", , Black or African American, , , No Co Applicant",Not Hispanic or Latino,Female,Under 62 Yrs Old,EXCLUDED,6141172,", , Black or African American, , , No Co Applicant",Not Hispanic or Latino,Female,Under 62 Yrs Old,EXCLUDED,99.216,-0.8929999999999998,5.347,6.24,5.25,2023-02-10 00:00:00.000,2023-03-08 00:00:00.000,Loan Originated,2023-03-08 00:00:00.000,Heartlantic,Raleigh,Amy Johnson,NC,8888,41.174,253150.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
Non-White,Male,Under 62 Yrs Old,Not Hispanic or Latino,EXCLUDED,NULL,NULL,NULL,NULL,NULL,6141987,", , Black or African American, , , No Co Applicant",Not Hispanic or Latino,Male,Under 62 Yrs Old,EXCLUDED,99.500,-0.7050000000000001,5.535,6.24,5.375,2023-02-13 00:00:00.000,2023-02-28 00:00:00.000,Loan Originated,2023-02-28 00:00:00.000,Heartlantic,Raleigh,Amy Johnson,NC,724,46.902,286040.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
White,EXCLUDED,62 Yrs or Over,Not Hispanic or Latino,XCOMPARISON,", , , , White, ",Not Hispanic or Latino,Male,62 Yrs or Over,XCOMPARISON,6072177,", , , , White, ",Not Hispanic or Latino,Female,62 Yrs or Over,XCOMPARISON,97.850,-0.5860000000000003,5.944,6.53,5.875,2023-01-14 00:00:00.000,2023-02-07 00:00:00.000,Loan Originated,2023-02-07 00:00:00.000,Heartlantic,Talbot,William Sohan,MD,745,34.305,408000.00,Purchase,CONVENTIONAL FIXED 30-YEAR,NULL,Banked - Retail,Owner,1,0,0,1,1,Conventional,NULL,NULL
